Process Id,1678259212688270000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
2,1678259212688558000,0,CREATE,None,None,(pid: 23560) - (speed: 1) - (recp: 127.0.0.1;3112) - (id: 2),None
2,1678259216706353000,0,INTERNAL,None,None,10,0
2,1678259217706336000,1,RECEIVED,3,2,1,1
2,1678259218706336000,3,INTERNAL,None,None,6,0
2,1678259219706380000,4,SEND,2,1,1,0
2,1678259220706386000,5,RECEIVED,3,2,6,1
2,1678259221706345000,13,INTERNAL,None,None,5,0
2,1678259222706344000,14,INTERNAL,None,None,8,0
2,1678259223706345000,15,INTERNAL,None,None,9,0
2,1678259224706342000,16,RECEIVED,3,2,2,1
2,1678259225706344000,24,RECEIVED,3,2,10,1
2,1678259226706341000,29,RECEIVED,3,2,6,1
2,1678259227706349000,31,INTERNAL,None,None,6,0
2,1678259228706342000,32,INTERNAL,None,None,5,0
2,1678259229706339000,33,INTERNAL,None,None,7,0
2,1678259230706337000,34,RECEIVED,3,2,5,2
2,1678259231706340000,43,RECEIVED,3,2,2,1
2,1678259232706338000,44,RECEIVED,1,2,10,1
2,1678259233706342000,45,INTERNAL,None,None,10,0
2,1678259234706342000,46,INTERNAL,None,None,5,0
2,1678259235706339000,47,RECEIVED,3,2,2,1
2,1678259236706338000,59,RECEIVED,3,2,5,1
2,1678259237706339000,60,INTERNAL,None,None,4,0
2,1678259238706363000,61,SEND,2,1,1,0
2,1678259239706339000,62,INTERNAL,None,None,10,0
2,1678259240706340000,63,RECEIVED,3,2,4,1
2,1678259241706340000,74,RECEIVED,1,2,5,2
2,1678259242706339000,75,RECEIVED,3,2,5,2
2,1678259243706340000,76,RECEIVED,3,2,3,2
2,1678259244706338000,80,RECEIVED,3,2,3,2
2,1678259245706340000,83,RECEIVED,3,2,3,1
2,1678259246706378000,84,SEND,2,3,2,0
2,1678259247706341000,85,RECEIVED,1,2,5,1
2,1678259248706342000,86,INTERNAL,None,None,7,0
2,1678259249706345000,87,RECEIVED,3,2,1,1
2,1678259250706342000,100,INTERNAL,None,None,9,0
2,1678259251706395000,101,SEND,2,1,3,0
2,1678259251706646000,101,SEND,2,3,3,0
2,1678259252706358000,102,INTERNAL,None,None,4,0
2,1678259253706359000,103,INTERNAL,None,None,6,0
2,1678259254706358000,104,INTERNAL,None,None,6,0
2,1678259255706353000,105,RECEIVED,3,2,10,1
2,1678259256706382000,117,SEND,2,1,3,0
2,1678259256706605000,117,SEND,2,3,3,0
2,1678259257706356000,118,RECEIVED,3,2,3,1
2,1678259258706363000,123,RECEIVED,3,2,3,1
2,1678259259706374000,127,RECEIVED,3,2,2,1
2,1678259260706362000,129,RECEIVED,3,2,2,1
2,1678259261706357000,132,RECEIVED,1,2,5,3
2,1678259262706358000,133,RECEIVED,3,2,10,4
2,1678259263706359000,136,RECEIVED,3,2,3,3
2,1678259264706395000,137,RECEIVED,3,2,10,2
2,1678259265706357000,138,RECEIVED,3,2,4,2
2,1678259266706360000,139,RECEIVED,3,2,7,1
2,1678259267706360000,147,RECEIVED,3,2,6,1
2,1678259268706382000,153,SEND,2,1,1,0
2,1678259269706364000,154,RECEIVED,3,2,10,1
2,1678259270706361000,161,RECEIVED,3,2,8,1
2,1678259271706359000,162,INTERNAL,None,None,10,0
2,1678259272706380000,163,SEND,2,3,2,0
2,1678259273706360000,164,RECEIVED,3,2,2,2
2,1678259274706361000,171,RECEIVED,3,2,8,2
2,1678259275706361000,173,RECEIVED,3,2,8,2
2,1678259276706359000,175,RECEIVED,3,2,8,3
2,1678259277706359000,178,RECEIVED,3,2,3,2
2,1678259278706357000,180,RECEIVED,3,2,8,1
2,1678259279706402000,182,SEND,2,1,3,0
2,1678259279706551000,182,SEND,2,3,3,0
