2023-02-28 16:26:43,225,logger name,INFO,2,1677619603225146000,0,CREATE,(pid: 25555), (speed: 6), (recp: [1, 3]), (id: 2),None
2023-02-28 16:26:43,225,logger name,INFO,1,1677619603225146000,0,CREATE,(pid: 25554), (speed: 5), (recp: [2, 3]), (id: 1),None
2023-02-28 16:26:43,225,logger name,INFO,3,1677619603225146000,0,CREATE,(pid: 25556), (speed: 1), (recp: [1, 2]), (id: 3),None
2023-02-28 16:26:43,392,logger name,INFO,2,1677619603392090000,1,INTERNAL,2,5,None
2023-02-28 16:26:43,426,logger name,INFO,1,1677619603426324000,1,SEND,1->2,None
2023-02-28 16:26:43,559,logger name,INFO,2,1677619603559328000,2,SEND,2->3,None
2023-02-28 16:26:43,626,logger name,INFO,1,1677619603626220000,2,INTERNAL,1,6,None
2023-02-28 16:26:43,726,logger name,INFO,2,1677619603726083000,3,INTERNAL,2,7,None
2023-02-28 16:26:43,826,logger name,INFO,1,1677619603826731000,3,SEND,1->3,None
2023-02-28 16:26:43,893,logger name,INFO,2,1677619603893670000,4,SEND,2->3,None
2023-02-28 16:26:44,026,logger name,INFO,1,1677619604026834000,4,INTERNAL,1,9,None
2023-02-28 16:26:44,060,logger name,INFO,2,1677619604060590000,5,INTERNAL,2,8,None
2023-02-28 16:26:44,225,logger name,INFO,3,1677619604225752000,3,RECEIVED,2->3,2
2023-02-28 16:26:44,227,logger name,INFO,1,1677619604227302000,5,INTERNAL,1,9,None
2023-02-28 16:26:44,228,logger name,INFO,2,1677619604228662000,6,SEND,2->3,None
2023-02-28 16:26:44,396,logger name,INFO,2,1677619604396150000,7,INTERNAL,2,9,None
2023-02-28 16:26:44,428,logger name,INFO,1,1677619604428397000,6,SEND,1->2,None
2023-02-28 16:26:44,428,logger name,INFO,1,1677619604428861000,6,SEND,1->3,None
2023-02-28 16:26:44,563,logger name,INFO,2,1677619604563238000,8,INTERNAL,2,5,None
2023-02-28 16:26:44,629,logger name,INFO,1,1677619604629356000,7,INTERNAL,1,5,None
2023-02-28 16:26:44,730,logger name,INFO,2,1677619604730494000,9,INTERNAL,2,7,None
2023-02-28 16:26:44,830,logger name,INFO,1,1677619604829967000,8,INTERNAL,1,6,None
2023-02-28 16:26:44,897,logger name,INFO,2,1677619604897471000,10,SEND,2->1,None
2023-02-28 16:26:45,031,logger name,INFO,1,1677619605031071000,11,INTERNAL,1,8,None
2023-02-28 16:26:45,064,logger name,INFO,2,1677619605064950000,11,SEND,2->3,None
2023-02-28 16:26:45,225,logger name,INFO,3,1677619605225833000,4,RECEIVED,1->3,4
2023-02-28 16:26:45,232,logger name,INFO,1,1677619605232369000,12,INTERNAL,1,5,None
2023-02-28 16:26:45,232,logger name,INFO,2,1677619605232697000,12,SEND,2->1,None
2023-02-28 16:26:45,233,logger name,INFO,2,1677619605233135000,12,SEND,2->3,None
2023-02-28 16:26:45,399,logger name,INFO,2,1677619605399786000,13,SEND,2->1,None
2023-02-28 16:26:45,400,logger name,INFO,2,1677619605400195000,13,SEND,2->3,None
2023-02-28 16:26:45,432,logger name,INFO,1,1677619605432411000,13,RECEIVED,2->1,1
2023-02-28 16:26:45,566,logger name,INFO,2,1677619605566672000,14,INTERNAL,2,4,None
2023-02-28 16:26:45,633,logger name,INFO,1,1677619605633212000,14,INTERNAL,1,5,None
2023-02-28 16:26:45,734,logger name,INFO,2,1677619605734738000,15,INTERNAL,2,5,None
2023-02-28 16:26:45,834,logger name,INFO,1,1677619605834384000,15,INTERNAL,1,8,None
