Process Id,1678255068270170000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
3,1678255068270332000,0,CREATE,None,None,(pid: 93924) - (speed: 2) - (recp: 127.0.0.1;4392) - (id: 3),None
3,1678255071781625000,0,INTERNAL,None,None,8,0
3,1678255072281609000,1,INTERNAL,None,None,6,0
3,1678255072781610000,2,INTERNAL,None,None,5,0
3,1678255073281610000,3,INTERNAL,None,None,6,0
3,1678255073781642000,4,SEND,3,2,2,0
3,1678255074281706000,5,SEND,3,2,2,0
3,1678255074781635000,6,SEND,3,2,2,0
3,1678255075281611000,7,INTERNAL,None,None,10,0
3,1678255075781609000,8,RECEIVED,2,3,10,2
3,1678255076281609000,12,RECEIVED,1,3,7,2
3,1678255076781610000,13,RECEIVED,2,3,6,1
3,1678255077281612000,14,INTERNAL,None,None,7,0
3,1678255077781635000,15,SEND,3,1,3,0
3,1678255077781849000,15,SEND,3,2,3,0
3,1678255078281615000,16,INTERNAL,None,None,9,0
3,1678255078781632000,17,SEND,3,1,3,0
3,1678255078781786000,17,SEND,3,2,3,0
3,1678255079281614000,18,INTERNAL,None,None,6,0
3,1678255079781610000,19,INTERNAL,None,None,10,0
3,1678255080281633000,20,SEND,3,1,3,0
3,1678255080281856000,20,SEND,3,2,3,0
3,1678255080781610000,21,INTERNAL,None,None,4,0
3,1678255081281633000,22,SEND,3,1,3,0
3,1678255081281918000,22,SEND,3,2,3,0
3,1678255081781611000,23,INTERNAL,None,None,5,0
3,1678255082281610000,24,INTERNAL,None,None,4,0
3,1678255082781636000,25,SEND,3,1,3,0
3,1678255082781845000,25,SEND,3,2,3,0
3,1678255083281636000,26,SEND,3,1,1,0
3,1678255083781612000,27,INTERNAL,None,None,10,0
3,1678255084281611000,28,INTERNAL,None,None,4,0
3,1678255084781632000,29,SEND,3,1,1,0
3,1678255085281627000,30,INTERNAL,None,None,7,0
3,1678255085781625000,31,RECEIVED,2,3,7,1
3,1678255086281623000,43,INTERNAL,None,None,8,0
3,1678255086781647000,44,SEND,3,1,3,0
3,1678255086781851000,44,SEND,3,2,3,0
3,1678255087281650000,45,SEND,3,1,1,0
3,1678255087781626000,46,INTERNAL,None,None,7,0
3,1678255088281625000,47,INTERNAL,None,None,6,0
3,1678255088781620000,48,RECEIVED,2,3,7,1
3,1678255089281624000,51,INTERNAL,None,None,8,0
3,1678255089781640000,52,RECEIVED,2,3,4,1
3,1678255090281684000,54,SEND,3,1,1,0
3,1678255090781641000,55,INTERNAL,None,None,10,0
3,1678255091281703000,56,SEND,3,1,1,0
3,1678255091781700000,57,SEND,3,1,3,0
3,1678255091781871000,57,SEND,3,2,3,0
3,1678255092281683000,58,SEND,3,2,2,0
3,1678255092781659000,59,INTERNAL,None,None,4,0
3,1678255093281656000,60,INTERNAL,None,None,6,0
3,1678255093781659000,61,RECEIVED,2,3,9,1
3,1678255094281657000,67,RECEIVED,2,3,6,1
3,1678255094781657000,68,INTERNAL,None,None,10,0
3,1678255095281661000,69,INTERNAL,None,None,6,0
3,1678255095781656000,70,RECEIVED,1,3,5,1
3,1678255096281656000,71,RECEIVED,2,3,6,1
3,1678255096781654000,74,RECEIVED,2,3,8,1
3,1678255097281655000,76,INTERNAL,None,None,8,0
