Process Id,1678259050322046000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
3,1678259050322219000,0,CREATE,None,None,(pid: 23405) - (speed: 2) - (recp: 127.0.0.1;4347) - (id: 3),None
3,1678259053831903000,0,INTERNAL,None,None,10,0
3,1678259054331884000,1,INTERNAL,None,None,7,0
3,1678259054831886000,2,INTERNAL,None,None,4,0
3,1678259055331885000,3,INTERNAL,None,None,7,0
3,1678259055831891000,4,INTERNAL,None,None,4,0
3,1678259056331883000,5,INTERNAL,None,None,5,0
3,1678259056831916000,6,SEND,3,2,2,0
3,1678259057331905000,7,SEND,3,1,1,0
3,1678259057831887000,8,RECEIVED,1,3,2,1
3,1678259058331931000,9,SEND,3,1,3,0
3,1678259058332085000,9,SEND,3,2,3,0
3,1678259058831906000,10,SEND,3,1,1,0
3,1678259059331917000,11,SEND,3,1,1,0
3,1678259059831891000,12,INTERNAL,None,None,7,0
3,1678259060331886000,13,INTERNAL,None,None,5,0
3,1678259060831888000,14,RECEIVED,2,3,5,1
3,1678259061331888000,15,RECEIVED,2,3,10,1
3,1678259061831891000,16,INTERNAL,None,None,4,0
3,1678259062331919000,17,SEND,3,1,3,0
3,1678259062332178000,17,SEND,3,2,3,0
3,1678259062831889000,18,INTERNAL,None,None,7,0
3,1678259063331885000,19,INTERNAL,None,None,6,0
3,1678259063831911000,20,SEND,3,1,1,0
3,1678259064331903000,21,INTERNAL,None,None,7,0
3,1678259064831910000,22,SEND,3,1,1,0
3,1678259065331886000,23,INTERNAL,None,None,7,0
3,1678259065831892000,24,INTERNAL,None,None,9,0
3,1678259066331888000,25,RECEIVED,2,3,2,1
3,1678259066831913000,26,SEND,3,1,3,0
3,1678259066832086000,26,SEND,3,2,3,0
3,1678259067331888000,27,RECEIVED,2,3,3,1
3,1678259067831891000,28,INTERNAL,None,None,4,0
3,1678259068331887000,29,RECEIVED,2,3,6,1
3,1678259068831890000,30,RECEIVED,2,3,8,1
3,1678259069331888000,31,INTERNAL,None,None,7,0
3,1678259069831911000,32,SEND,3,1,1,0
3,1678259070331921000,33,SEND,3,2,2,0
3,1678259070831895000,34,INTERNAL,None,None,4,0
3,1678259071331919000,35,SEND,3,2,2,0
3,1678259071831890000,36,INTERNAL,None,None,6,0
3,1678259072331888000,37,INTERNAL,None,None,7,0
3,1678259072831889000,38,INTERNAL,None,None,8,0
3,1678259073331891000,39,INTERNAL,None,None,7,0
3,1678259073831892000,40,INTERNAL,None,None,8,0
3,1678259074331892000,41,RECEIVED,2,3,2,1
3,1678259074831890000,42,RECEIVED,2,3,6,1
3,1678259075331887000,43,RECEIVED,2,3,4,1
3,1678259075831916000,44,SEND,3,2,2,0
3,1678259076331886000,45,INTERNAL,None,None,5,0
3,1678259076831889000,46,INTERNAL,None,None,9,0
3,1678259077331887000,47,INTERNAL,None,None,7,0
3,1678259077831917000,48,SEND,3,1,3,0
3,1678259077832071000,48,SEND,3,2,3,0
3,1678259078331888000,49,RECEIVED,2,3,10,1
3,1678259078831894000,50,INTERNAL,None,None,9,0
3,1678259079331888000,51,INTERNAL,None,None,8,0
3,1678259079831893000,52,INTERNAL,None,None,9,0
3,1678259080331886000,53,RECEIVED,2,3,3,1
3,1678259080831911000,54,SEND,3,2,2,0
3,1678259081331891000,55,RECEIVED,2,3,3,1
3,1678259081831891000,56,INTERNAL,None,None,8,0
3,1678259082331887000,57,INTERNAL,None,None,9,0
3,1678259082831894000,58,RECEIVED,2,3,7,1
3,1678259083331892000,59,INTERNAL,None,None,6,0
3,1678259083831894000,60,RECEIVED,2,3,9,1
3,1678259084331888000,61,RECEIVED,2,3,1,1
3,1678259084831890000,62,INTERNAL,None,None,7,0
3,1678259085331891000,63,INTERNAL,None,None,7,0
3,1678259085831913000,64,SEND,3,1,3,0
3,1678259085832041000,64,SEND,3,2,3,0
3,1678259086331891000,65,INTERNAL,None,None,10,0
3,1678259086831891000,66,INTERNAL,None,None,5,0
3,1678259087331892000,67,INTERNAL,None,None,7,0
3,1678259087831893000,68,INTERNAL,None,None,4,0
3,1678259088331921000,69,SEND,3,1,1,0
3,1678259088831893000,70,INTERNAL,None,None,4,0
3,1678259089331891000,71,INTERNAL,None,None,4,0
3,1678259089831894000,72,RECEIVED,2,3,6,1
3,1678259090331922000,73,SEND,3,1,1,0
3,1678259090831910000,74,INTERNAL,None,None,8,0
3,1678259091331941000,75,INTERNAL,None,None,9,0
3,1678259091831919000,76,INTERNAL,None,None,5,0
3,1678259092331904000,77,INTERNAL,None,None,4,0
3,1678259092831908000,78,INTERNAL,None,None,10,0
3,1678259093331931000,79,SEND,3,1,1,0
3,1678259093831933000,80,RECEIVED,2,3,5,1
3,1678259094331906000,81,RECEIVED,2,3,9,1
3,1678259094831908000,82,INTERNAL,None,None,6,0
3,1678259095331905000,83,INTERNAL,None,None,10,0
3,1678259095831909000,84,INTERNAL,None,None,7,0
3,1678259096331906000,85,INTERNAL,None,None,6,0
3,1678259096831935000,86,RECEIVED,1,3,3,2
3,1678259097331908000,87,RECEIVED,2,3,3,1
3,1678259097831970000,88,INTERNAL,None,None,6,0
3,1678259098331906000,89,INTERNAL,None,None,9,0
3,1678259098831910000,90,INTERNAL,None,None,5,0
