1,1677621910884504000,0,CREATE,(pid: 26977), (speed: 4), (recp: [2, 3]), (id: 1),None
1,1677621911135901000,1,INTERNAL,1,5,None
1,1677621911386896000,2,INTERNAL,1,10,None
1,1677621911637687000,3,SEND,1->2,None
1,1677621911638137000,3,SEND,1->3,None
1,1677621911887924000,4,INTERNAL,1,5,None
1,1677621912138526000,5,SEND,1->2,None
1,1677621912138845000,5,SEND,1->3,None
1,1677621912388627000,6,INTERNAL,1,10,None
1,1677621912639270000,7,SEND,1->3,None
1,1677621912889492000,8,INTERNAL,1,6,None
1,1677621913140758000,9,SEND,1->3,None
1,1677621913390933000,10,INTERNAL,1,6,None
1,1677621913641832000,11,SEND,1->2,None
1,1677621913642165000,11,SEND,1->3,None
1,1677621913892535000,12,INTERNAL,1,6,None
1,1677621914142867000,13,INTERNAL,1,5,None
1,1677621914393381000,14,INTERNAL,1,5,None
1,1677621914644005000,15,INTERNAL,1,5,None
1,1677621914894720000,16,INTERNAL,1,7,None
1,1677621915145605000,17,SEND,1->2,None
1,1677621915145964000,17,SEND,1->3,None
1,1677621915395877000,18,INTERNAL,1,6,None
1,1677621915646244000,19,SEND,1->2,None
1,1677621915646674000,19,SEND,1->3,None
1,1677621915896595000,20,SEND,1->2,None
1,1677621915896894000,20,SEND,1->3,None
1,1677621916147163000,21,INTERNAL,1,6,None
1,1677621916397995000,22,INTERNAL,1,5,None
1,1677621916648323000,23,SEND,1->2,None
1,1677621916898698000,24,INTERNAL,1,4,None
1,1677621917150260000,25,SEND,1->3,None
1,1677621917400142000,26,INTERNAL,1,10,None
1,1677621917650794000,27,INTERNAL,1,7,None
1,1677621917901558000,28,SEND,1->2,None
1,1677621918152456000,29,SEND,1->2,None
1,1677621918403547000,30,SEND,1->3,None
1,1677621918654304000,31,INTERNAL,1,8,None
1,1677621918904542000,32,INTERNAL,1,9,None
1,1677621919154779000,33,INTERNAL,1,10,None
1,1677621919404848000,34,INTERNAL,1,4,None
1,1677621919654965000,35,INTERNAL,1,7,None
1,1677621919905903000,36,INTERNAL,1,9,None
1,1677621920156238000,37,INTERNAL,1,8,None
1,1677621920406463000,38,INTERNAL,1,8,None
1,1677621920656874000,39,INTERNAL,1,6,None
1,1677621920908204000,40,SEND,1->2,None
1,1677621920908542000,40,SEND,1->3,None
1,1677621921158766000,41,INTERNAL,1,6,None
1,1677621921409253000,42,INTERNAL,1,4,None
1,1677621921660176000,43,INTERNAL,1,5,None
1,1677621921910620000,44,INTERNAL,1,8,None
1,1677621922161403000,45,SEND,1->2,None
1,1677621922161693000,45,SEND,1->3,None
1,1677621922412713000,46,SEND,1->2,None
