1,1678304196116180000,0,INTERNAL,None,None,10,0
1,1678304196282843000,1,INTERNAL,None,None,7,0
1,1678304196449514000,2,INTERNAL,None,None,10,0
1,1678304196616177000,3,INTERNAL,None,None,4,0
1,1678304196782849000,4,INTERNAL,None,None,4,0
1,1678304196949943000,5,SEND,1,2,3,0
1,1678304196950051000,5,SEND,1,3,3,0
1,1678304197116215000,6,SEND,1,2,1,0
1,1678304197282843000,7,INTERNAL,None,None,4,0
1,1678304197449516000,8,INTERNAL,None,None,10,0
1,1678304197616227000,9,SEND,1,3,2,0
1,1678304197782845000,10,INTERNAL,None,None,9,0
1,1678304197949571000,11,SEND,1,2,1,0
1,1678304198116184000,12,INTERNAL,None,None,7,0
1,1678304198282847000,13,INTERNAL,None,None,8,0
1,1678304198449516000,14,INTERNAL,None,None,5,0
1,1678304198616186000,15,INTERNAL,None,None,6,0
1,1678304198782850000,16,INTERNAL,None,None,8,0
1,1678304198949520000,17,INTERNAL,None,None,5,0
1,1678304199116224000,18,SEND,1,2,1,0
1,1678304199282851000,19,INTERNAL,None,None,5,0
1,1678304199449559000,20,SEND,1,3,2,0
1,1678304199616182000,21,INTERNAL,None,None,5,0
1,1678304199782855000,22,INTERNAL,None,None,10,0
1,1678304199949558000,23,SEND,1,3,2,0
1,1678304200116187000,24,INTERNAL,None,None,9,0
1,1678304200282851000,25,INTERNAL,None,None,10,0
1,1678304200449559000,26,SEND,1,2,1,0
1,1678304200616233000,27,SEND,1,3,2,0
1,1678304200782852000,28,INTERNAL,None,None,4,0
1,1678304200949521000,29,INTERNAL,None,None,8,0
1,1678304201116232000,30,SEND,1,3,2,0
1,1678304201282854000,31,INTERNAL,None,None,5,0
1,1678304201449524000,32,INTERNAL,None,None,7,0
1,1678304201616186000,33,INTERNAL,None,None,10,0
1,1678304201782899000,34,SEND,1,3,2,0
1,1678304201949525000,35,INTERNAL,None,None,8,0
1,1678304202116188000,36,INTERNAL,None,None,9,0
1,1678304202282857000,37,INTERNAL,None,None,8,0
1,1678304202449525000,38,INTERNAL,None,None,7,0
